1526,日馳,2.4,108,21.24,1.95,109/1
1527,鑽全,2.96,108,12.27,1.4,109/1
1528,恩德,1.28,108,-,0.69,109/1
1529,樂士,3.55,108,30.65,1.27,109/1
1530,亞崴,4.71,108,7.84,0.97,109/1
1531,高林股,1.59,108,-,0.64,109/1
1532,勤美,3.23,108,38.15,0.92,109/1
1533,車王電,1.89,108,15.17,1.04,109/1
1535,中宇,3.65,108,29.64,1.37,109/1
1536,和大,2.16,108,39.28,3.55,109/1
1537,廣隆,6.94,108,12.27,2.75,109/1
1538,正峰新,0,107,-,0.83,109/1
1539,巨庭,4.42,108,21.55,0.88,109/1
1540,喬福,6.1,108,16.57,0.96,109/1
1541,錩泰,2.52,107,9.4,2.22,109/1
1558,伸興,6.62,108,11.3,1.66,109/1
1560,中砂,4.6,108,16.33,1.95,109/1
1568,倉佑,3.09,108,-,1.14,109/1
1582,信錦,5.56,108,11.2,1.8,109/1
1583,程泰,5,108,13.42,1.4,109/1
1587,吉茂,3.82,108,131,0.74,109/1
1589,永冠-KY,0.83,108,40.34,0.85,109/1
1590,亞德客-KY,0.92,108,39.83,5.3,109/1
1592,英瑞-KY,0,108,-,0.53,109/1
1598,岱宇,2.42,108,38.35,2.16,109/1
1603,華電,1.88,108,17.82,0.84,109/1
1604,聲寶,7.5,108,9.8,1.15,109/1
1605,華新,3.6,108,16.75,0.64,109/1
1608,華榮,7.04,108,-,0.69,109/1
1609,大亞,2.78,108,12,0.88,109/1
1611,中電,8.7,108,6.73,1.03,109/1
1612,宏泰,4.95,108,43.91,0.73,109/1
1614,三洋電,2.68,108,34.01,1.62,109/1
1615,大山,9.05,108,10.38,1.38,109/1
1616,億泰,0,107,-,0.52,109/1
1617,榮星,2.62,108,14.87,0.98,109/1
1618,合機,3.71,108,22.44,0.49,109/1
1626,艾美特-KY,3.8,108,23.48,1.24,109/1
1701,中化,3.74,108,15.4,1.04,109/1
1702,南僑,4.49,108,13.05,2.03,109/1
1707,葡萄王,3.44,108,19.65,4,109/1
1708,東鹼,6.65,108,20.73,0.88,109/1
1709,和益,3.75,108,26.7,0.92,109/1
1710,東聯,1.8,108,-,1.14,109/1
1711,永光,2.13,108,25.64,1.03,109/1
1712,興農,7.14,108,15.42,1.17,109/1
1713,國化,3.2,108,29.19,1.18,109/1
1714,和桐,2.03,107,-,0.71,109/1
1717,長興,4.38,108,20.38,1.86,109/1
1718,中纖,12.14,107,-,0.38,109/1
1720,生達,3.85,108,16.39,1.96,109/1
1721,三晃,0,107,-,0.94,109/1
1722,台肥,4.5,108,17.78,0.92,109/1
1723,中碳,5,108,21.41,3.32,109/1
1724,台硝,4.08,108,20.76,0.78,109/1
1725,元禎,5.63,108,15.48,0.89,109/1
1726,永記,4.66,108,15.37,1.31,109/1
1727,中華化,2.14,108,-,0.77,109/1
1730,花仙子,5.08,108,16.02,2.75,109/1
1731,美吾華,4.32,108,19.31,1.04,109/1
1732,毛寶,0,107,42.44,3,109/1
1733,五鼎,4.47,108,23.65,1.46,109/1
1734,杏輝,0.91,108,137.81,1.32,109/1
1735,日勝化,3.87,108,13.33,1.12,109/1
1736,喬山,1.94,108,21.58,2.51,109/1
1737,臺鹽,4.8,108,19.78,1,109/1
1760,寶齡富錦,1.21,108,93.13,9.33,109/1
1762,中化生,1.38,108,43.13,2.19,109/1
1773,勝一,4.33,108,14.96,2.83,109/1
1776,展宇,4.91,108,19.22,1.21,109/1
1783,和康生,2.97,108,28.85,2.12,109/1
1786,科妍,2.94,108,28.86,2.63,109/1
1789,神隆,0.9,108,136.82,2.35,109/1
1795,美時,0,107,36.53,2.49,109/1
1802,台玻,3.41,107,-,0.66,109/1
1805,寶徠,0,107,-,1.26,109/1
1806,冠軍,0,107,-,0.39,109/1
1808,潤隆,4.89,108,37.21,3.56,109/1
1809,中釉,2.15,108,-,0.52,109/1
1810,和成,2.75,107,31.57,0.49,109/1
1817,凱撒衛,5.66,108,12.57,1.27,109/1
1903,士紙,0,107,-,4.97,109/1
1904,正隆,5.08,108,9.44,1.07,109/1
1905,華紙,4.33,107,-,0.61,109/1
1906,寶隆,4.05,108,17.15,0.64,109/1
1907,永豐餘,5.3,108,7.81,0.61,109/1
1909,榮成,2.27,108,30.7,0.77,109/1
2002,中鋼,2.53,108,104.21,1.04,109/1
2006,東和鋼鐵,5.64,108,14.09,0.98,109/1
2007,燁興,0,107,-,0.4,109/1
2008,高興昌,0,107,-,1.1,109/1
2009,第一銅,0,107,-,0.84,109/1
2010,春源,3.08,108,23.17,0.63,109/1
2012,春雨,6.9,108,16.11,1.51,109/1
2013,中鋼構,3.3,108,26.98,1.12,109/1
2014,中鴻,1.28,107,-,0.82,109/1
2015,豐興,5.76,108,16.86,1.62,109/1
2017,官田鋼,0,108,-,0.73,109/1
2020,美亞,10.36,108,19.83,1.3,109/1
2022,聚亨,0,108,-,0.49,109/1
2023,燁輝,3.61,107,-,0.63,109/1
2024,志聯,2.75,108,255,1.09,109/1
2025,千興,0,107,-,0.93,109/1
2027,大成鋼,4.47,108,72.57,1.27,109/1
2028,威致,0,107,16.33,1.28,109/1
